Value|Category|Answer|Question
300|WHO'S THE MRS.?|(Mary) Matalin|Mrs. James Carville
400|WHO'S THE MRS.?|Connie Chung|Mrs. Maury Povich
500|WHO'S THE MRS.?|Julie Andrews|Mrs. Blake Edwards
100|TRANSPORTATION|a helicopter|The twin rotor type of this has 2 main rotors going in opposite directions, so it doesn't need a tail rotor
200|TRANSPORTATION|forklifts|There are no knife or spoon varieties of these vehicles used in warehouses to raise & carry merchandise
300|TRANSPORTATION|a submarine|The U.S. U-2, first built in the 1950s, was an airplane; the German U-1, first built in the 1910s, was one of these
400|TRANSPORTATION|the English Channel|In 1994 the trip across this body of water was cut from a little more than an hour to about 35 minutes
500|TRANSPORTATION|a battleship|The Kearsarge was the only one of these not named for a U.S. state
100|MYTHELLANEOUS|a flood|The mythical Sumerian hero Utnapishtim built a big vessel at God's urging & thereby survived this catastrophe
200|MYTHELLANEOUS|a nymph|Lotis, later turned into the lotus tree, was one of these female spirits of nature
300|MYTHELLANEOUS|butterflies|In Zuni myth, a kachina named Paiyatemu attracted these colorfully winged insects when she played the flute
400|MYTHELLANEOUS|Athena|This goddess after whom a major city in Greece is named sprang from the head of Zeus
500|MYTHELLANEOUS|Pegasus|Riding this winged horse made it possible for Bellerophon to approach & kill the chimera
100|5-LETTER CAPITALS|Paris|12 avenues radiate from Place Charles de Gaulle in this city
200|5-LETTER CAPITALS|Cairo|Bridges crossing the Nile River in this capital include El Gama'a & El Giza
300|5-LETTER CAPITALS|Hanoi|Haiphong near the Gulf of Tonkin serves as this city's main port
400|5-LETTER CAPITALS|Amman|The ancient Greeks called this Jordanian capital Philadelphia
500|5-LETTER CAPITALS|Quito|In 1809 one of the first revolts for independence in Latin America broke out in this Ecuadoran capital
100|ON THE MOVE|Gondolas|Long, flat-bottomed & painted a somber black, they're the traditional taxis of Venice
200|ON THE MOVE|Chrysler|In 1980 the U.S. government loaned this auto company $1.5 billion; the loans were repaid within 3 years
300|ON THE MOVE|New York City|This U.S. city has more miles of subway than any other subway system in the Western Hemisphere
400|ON THE MOVE|Caboose|In Britain, it's a kitchen on a ship's deck; in the U.S., it's traditionally the last car on a freight train
500|ON THE MOVE|Suez Canal|When it opened, it cut the distance from London to Bombay by 5,100 miles
100|THE ENGLISH BEAT|Oxford|This city, first mentioned in 912, is the seat of Britain's oldest university, developed in the 1100s
200|THE ENGLISH BEAT|Stonehenge|Researchers estimate its construction on Salisbury Plain in Wiltshire took about 30 million man-hours
300|THE ENGLISH BEAT|Stratford-upon-Avon|In 1964 a Shakespeare center was opened on Henley Street in this city
400|THE ENGLISH BEAT|Liverpool|You'll find the Cavern Club at 10 Mathew Street in this port city; how fab
500|THE ENGLISH BEAT|Birmingham|Centenary Square, in the center of this city, is its main cultural center; Alabama has a city by that name as well
100|NATIONAL FOODS|Belgian waffles|This breakfast treat with deep pockets was introduced to Americans at the 1964 World's Fair
200|NATIONAL FOODS|English muffins|Thomas' is a brand of these, famed for their nooks & crannies
300|NATIONAL FOODS|Canadian bacon|This cured meat is in the classic McDonald's Egg McMuffin
400|NATIONAL FOODS|Russian dressing|Actually an American recipe, this condiment may have been given its name because caviar was once an ingredient
500|NATIONAL FOODS|French toast|Its other names include Poor Knights of Windsor & Pain Perdu (lost bread)
100|THE PLANET URANUS|rings|Observations by astronomer James Elliot in 1977 discovered 5 of these around Uranus
200|THE PLANET URANUS|84|Of 84, 184 or 284, the length in years of one orbit by Uranus around the sun
300|THE PLANET URANUS|William Shakespeare|Uranus' 2 largest moons share their names with characters created by this author
400|THE PLANET URANUS|Neptune|In 1846 astronomers found this planet from the effects it had on Uranus' orbit
500|THE PLANET URANUS|William Herschel|He discovered Uranus as well as 2 of its moons
100|IT BORDERS JUST ONE OTHER COUNTRY|the United States|Canada
200|IT BORDERS JUST ONE OTHER COUNTRY|North Korea|South Korea
300|IT BORDERS JUST ONE OTHER COUNTRY|Germany|Denmark
400|IT BORDERS JUST ONE OTHER COUNTRY|Italy|San Marino
500|IT BORDERS JUST ONE OTHER COUNTRY|Malaysia|Brunei
100|COME, HO CHI MINH|Hanoi|Ho Chi Minh is buried in this capital city
200|COME, HO CHI MINH|France|Ho Chi Minh helped start Vietnam's Communist Party & in the 1920s helped start this Eur. country's Communist Party
300|COME, HO CHI MINH|Laos|The trail bearing Ho's name was a series of Viet Cong supply routes mostly through this neighboring nation
400|COME, HO CHI MINH|uncle|Ho Chi Minh was also known by the nickname Bac Ho, meaning this relative
500|COME, HO CHI MINH|Nguyen|Ho Chi Minh's real family name wasn't Ho, it was this, like many other Vietnamese
100|ARTISTS & THEIR WORKS|Eiffel Tower|Robert Delaunay is known for his colorful series of Cubist paintings of this French tower
200|ARTISTS & THEIR WORKS|Pandora|Oh oh!  Chauncey B. Ives depicted this mythological woman seen here on the verge of opening a box
300|ARTISTS & THEIR WORKS|Mobiles|Marcel Duchamp coined this term to describe Alexander Calder's moving sculptures
400|ARTISTS & THEIR WORKS|Queen of Sheba|Conrad Witz depicted this wealthy queen with King Solomon in the 15th C. work seen here
500|ARTISTS & THEIR WORKS|W.A. Mozart|In Salzburg you can visit the graves of his parents & his wife Constanze; his own location is uncertain
100|CELEBRITY RHYME TIME|Dan's plans|Aykroyd's blueprints
200|CELEBRITY RHYME TIME|Pat's hats|Sajak's Stetsons & sombreros
300|CELEBRITY RHYME TIME|Drew's views|The vistas seen from Ms. Barrymore's home
400|CELEBRITY RHYME TIME|Woody's goodies|Harrelson's yummies
500|CELEBRITY RHYME TIME|Sassoon's bassoons|Hairdresser Vidal's woodwinds
100|PSYCHOLOGY|memory|In the psychology of learning, it’s “the retention of association”; in “Cats”, it’s a showstopping song
200|PSYCHOLOGY|the ego|According to psychoanalytic theory, it’s part of the personality which balances the id & superego
300|PSYCHOLOGY|word association|Standard test of responding to a key word with the 1st words which come to your mind
400|PSYCHOLOGY|Mr. Carlin|Character from group therapy on old Bob Newhart show who checked into St. Elsewhere this season
500|PSYCHOLOGY|Alfred Adler|Founder of “individual psychology”, he broke with Freud in 1911
100|BICYCLES|a skirt|The woman’s bicycle without the bar was created so women could ride while wearing these
200|BICYCLES|the smallest|A German circus performer has made the Guinness record book for riding a bicycle with this distinction
300|BICYCLES|Peugeot|This French company is known for making fine bicycles as well as cars
400|BICYCLES|the United States|In the 1984 Olympics, Alexi Grewal won a gold medal in cycling for this country
500|BICYCLES|Pee Wee’s Big Adventure|1985 film that was a story of a “rebel & his bike”
100|GREECE|Athena|Goddess of wisdom for whom Athens was named
200|GREECE|eggplant|The popular dish moussaka is layers of ground meat & this vegetable
300|GREECE|the Balkan Peninsula|The mainland of Greece forms the southern part of this peninsula
400|GREECE|the daughters marry|By tradition, the sons in a Greek family don’t marry until this happens first
500|GREECE|the Golden Age (or the Age of Pericles)|The prosperous 5th century B.C. in Greece is better known as this
100|RHYME TIME|a smart start|An intelligent beginning
200|RHYME TIME|a fatter batter|A more obese baseball slugger
300|RHYME TIME|a rich witch|A wealthy sorceress
400|RHYME TIME|a crypt script|Written text of a movie about an underground burial chamber
500|RHYME TIME|a dark park|A public recreation area devoid of light
100|THE 1980s|Beijing|As many as 5,000 pro-democracy demonstrators were killed in this city's Tiananmen Square
200|THE 1980s|Speaker of the House|Representative Jim Wright resigned this congressional office & his seat in the House
300|THE 1980s|Nelson Mandela|On Dec. 13, 1989 Pres. F.W. De Clerk met with this imprisoned African National Congress leader for the first time
400|THE 1980s|Romania|Nicolae Ceausescu was deposed as dictator of this country & executed in 1989
500|THE 1980s|Czechoslovakia|Vaclav Havel went from political prisoner to president of this country in 1989
100|FROG ANATOMY|the frog's heart|It's divided into 3 chambers: 2 auricles & 1 ventricle
200|FROG ANATOMY|the frog's tongue|It's attached at the front of the mouth so the frog can flick it out rapidly
300|FROG ANATOMY|the bladder|The frog stores liquid waste in this organ & can reabsorb water from it in dry times
400|FROG ANATOMY|a frog liver|The pancreas & this 3-lobed organ provide digestive enzymes
500|FROG ANATOMY|the frog's eyelid|The nictitating membrane is also called the third one of these
100|THE BIBLE|Manna|It was like coriander seed, white; & the taste of it was like wafers made with honey
200|THE BIBLE|Jericho|Things saved from this city were the gold & silver, the iron & brass vessels & Rahab & her family
300|THE BIBLE|The Ark of the Covenant|While carting this, Uzza touched it to right it after the oxen stumbled, & the Lord smote him
400|THE BIBLE|Egypt|God guided the Israelites out of this country with a pillar of cloud by day & of fire by night
500|THE BIBLE|gopher wood|God instructed Noah to use this kind of wood to build the ark
100|HOMOPHONES|a pour/pore|Rain heavily, or a tiny opening in the skin
200|HOMOPHONES|male/mail|Masculine, or letters & packages
300|HOMOPHONES|an aisle/isle|A walkway between sections of seats in a theater, or a small piece of land surrounded by water
400|HOMOPHONES|profit/prophet|A monetary gain, or one who foretells the future
500|HOMOPHONES|earn/urn|Deserve, or a large decorative vase
100|UNFORESEEN FINDS|saccharin|In 1879 this was discovered when a scientist's food was found to be sweet from the residue of a coal tar experiment
200|UNFORESEEN FINDS|Silly Putty|G.E. scientists looking for synthetic rubber during WWII discovered this toy that lifts images off a page
300|UNFORESEEN FINDS|potato chips|To spite a customer who complained the tubers were too thick, chef George Crum created what became this treat
400|UNFORESEEN FINDS|Scotchgard|This product was born when a new 3M jet-fuel hose material spilled on shoes & made them waterproof & stain-resistant
500|UNFORESEEN FINDS|the microwave|The idea for this device occurred when a magnetron melted a candy bar in Raytheon engineer Percy Spencer's pocket
100|THE TITANIC|France|The only country outside the British Isles where the Titanic ever anchored
200|THE TITANIC|masts|2 of these towered over the deck & were used as flagpoles & to string the wireless aerial
300|THE TITANIC|it broke in half|This happened between the third & fourth funnel, a fact no one knew until the Titanic was found in 1985
400|THE TITANIC|the crow's nest|The first warning of the iceberg came at 11:40 P.M. from Fred Fleet, the lookout in this platform high above the deck
500|THE TITANIC|third class|Gates prevented 700 of these passengers from getting up to the main deck, though they didn't stop Leo in the movie
100|WHAT'S THAT SOUND?|Puget Sound|Ports lying on the banks of this sound include Bremerton, Everett & Tacoma
200|WHAT'S THAT SOUND?|Rhode Island|Block Island Sound separates Block Island from this tiny state's mainland
300|WHAT'S THAT SOUND?|North Carolina|This state's outer banks create Pamlico Sound, the largest lagoon on the East Coast of the United States
400|WHAT'S THAT SOUND?|iron|The islands in Australia's Yampi Sound are rich in hematite, an ore of this metal
500|WHAT'S THAT SOUND?|(Sir James Clark) Ross|Antarctica's McMurdo Sound was discovered in 1841 by this Brit who has a nearby sea & ice shelf named for him
100|ISRAEL|diamonds|If you're getting engaged, consider a visit to Netanya, a world center for cutting & polishing these
200|ISRAEL|kibbutz|Sde Boker, one of these cooperative communities, was the retirement home of first prime minister David Ben-Gurion
300|ISRAEL|Haifa|This port city on & around Mount Carmel has been compared to San Francisco, its sister city
400|ISRAEL|El Al|In 1961 this Israeli airline set a record for the longest nonstop commercial flight, New York to Tel Aviv
500|ISRAEL|Augustus|Home to spectacular ruins, Caesarea was founded around 20 B.C. & named for this Caesar
100|ANAGRAMMED BIRDS|turkey|A holiday standard: key rut
200|ANAGRAMMED BIRDS|ostrich|A big African: to Chris
300|ANAGRAMMED BIRDS|woodpecker|A head-banger: cowpoke red
400|ANAGRAMMED BIRDS|pigeon|A city dweller: ego nip
500|ANAGRAMMED BIRDS|flamingo|A front yard favorite: I'm no flag
100|I'LL MAKE A NOTE OF IT|Pisces|In astrological notation, this sign is represented by 2 fish
200|I'LL MAKE A NOTE OF IT|chess|(Sarah of the Clue Crew at the chalkboard)  It's the classic game being represented here
300|I'LL MAKE A NOTE OF IT|Louis Braille|In the 1800s this Frenchman also developed a musical notation system for blind musicians
400|I'LL MAKE A NOTE OF IT|c|In physics notation the speed of light is symbolized by this letter in lower case
500|I'LL MAKE A NOTE OF IT|dance|Named for its inventor, Labanotation is a notation system for this so you know when to do a fouette
100|ANATOMY|the cornea|This transparent membrane in the eye covers the iris & has no blood vessels
200|ANATOMY|the hip bone|The head of the femur fits into the acetabulum, a socket in this pelvic bone
300|ANATOMY|the ankle|The base of the fibula forms the outer projection of this joint
400|ANATOMY|the stomach|A ringlike muscle called the pyloric sphincter lies at the end of this, leading into the duodenum
500|ANATOMY|the dermis|The layers of the skin are the epi-this, the this & the hypo-this
100|SPORTS FACTS|(Barry) Bonds|This Giants outfielder is the only player in history to receive the MVP award 4 consecutive years, 2001 to 2004
200|SPORTS FACTS|(Muhammad) Ali|In 1980 this boxer came out of retirement to fight Larry Holmes & then Trevor Berbick; he lost both bouts
300|SPORTS FACTS|Australia|In 1962 this country's Dawn Fraser became the first woman swimmer to break one minute in the 100-meter freestyle
400|SPORTS FACTS|(Jack) Nicklaus|In the 1960s he won 7 major tournaments, more than any other golfer
